Facility.Type,Facility_Name,Facility.Address,subsidized_child_care?,Licensee,City,Latitude,Longitude,Capacity,Status,License_first_date,Closed_date,Facility_code,License_yearmon,Closed_yearmon,X.44
DAY CARE CENTER,A MOTHER GOOSE ACADEMY,11849 BURBANK BLVD.,n,"MARGULETA, VICTORIA",VALLEY VILLAGE,34.1723775,-118.3916559,41,Licensed,2/3/14,,1,14-Feb,,417
DAY CARE CENTER,A MOTHER GOOSE ACADEMY,11849 BURBANK BLVD.,,"MARQULETA, VIKTORIIA & SHIROKOVA, ANNA",VALLEY VILLAGE,34.1723775,-118.3916559,38,Closed,10/3/11,2/3/14,2,11-Oct,14-Feb,416
DAY CARE CENTER,A.J. PADELFORD CHILD DEVELOPMENT CENTER,11922 169TH STREET,n,QUALITY CHILDREN'S SERVICES,ARTESIA,33.877243,-118.078904,48,Licensed,5/2/02,,1,2-May,,561
DAY CARE CENTER,ABC - HAPPY SCHOOL,11849 BURBANK BLVD.,,"ABC-HAPPY SCHOOL, INC",VALLEY VILLAGE,34.1723775,-118.3916559,38,Closed,8/19/09,10/3/11,2,9-Aug,11-Oct,422
DAY CARE CENTER,ADAT SHALOM,3030 WESTWOOD BLVD,n,ADAT SHALOM,LOS ANGELES,34.0304954,-118.4204546,100,Licensed,8/3/93,,1,Aug-93,,443
DAY CARE CENTER,ALL SAINTS LEARNING CENTER,8040 GLENOAKS BLVD.,n,ST. MICHAEL LUTHERAN CHURCH,SUN VALLEY,34.2177436,-118.3531482,34,Licensed,1/17/89,,1,Jan-89,,468
DAY CARE CENTER,ALSC LEARNING CENTER FOR YOUNG CHILDREN,1375 NORTH ST. ANDREWS PLACE,,ASSISTANCE LEAGUE OF SOUTHERN CALIFORNIA,LOS ANGELES,34.0965943,-118.3112676,150,Closed,,9/11/12,2,,12-Sep,481
INFANT CENTER,ALSC-LEARNING CENTER FOR YOUNG CHILDREN,1375 N. ST. ANDREWS PLACE,,ASSISTANCE LEAGUE OF SOUTHERN CALIFORNIA,LOS ANGELES,34.0965943,-118.3112676,20,Closed,3/16/98,11/8/12,2,Mar-98,12-Nov,3680
DAY CARE CENTER,ARROW MONTESSORI SCHOOL - SAN DIMAS,818 WEST GLADSTONE STREET,n,"PRIMANTI MONTESSORI SCHOOL - WHITTIER, INC.",SAN DIMAS,34.113469,-117.823217,64,Licensed,8/12/11,,1,11-Aug,,538
INFANT CENTER,ARROW MONTESSORI SCHOOL - SAN DIMAS,818 WEST GLADSTONE STREET,n,"PRIMANTI MONTESSORI SCHOOL - WHITTIER, INC.",SAN DIMAS,34.113469,-117.823217,14,Licensed,8/12/11,,1,11-Aug,,3690
SCHOOL AGE DAY CARE CENTER,ARROW MONTESSORI SCHOOL-SAN DIMAS,818 W. GLADSTONE STREET,,"PRIMANTI MONTESSORI SCHOOL-WHITTIER, INC.",SAN DIMAS,34.113469,-117.823217,24,Inactive,2/10/12,,3,12-Feb,,4256
SCHOOL AGE DAY CARE CENTER,ASSISTANCE LEAGUE OF SO. CA CHILDREN'S CLUB.,5620 DE LONGPRE AVE.,,ASSISTANCE LEAGUE OF SOUTHERN CALIFORNIA,LOS ANGELES,34.096528,-118.31187,249,Closed,4/24/96,9/11/12,2,Apr-96,12-Sep,4257
DAY CARE CENTER,BAKER HEAD START/PRESCHOOL,12043 EXLINE,n,MOUNTAIN VIEW SCHOOL DISTRICT,EL MONTE,34.0663331,-118.0157494,40,Licensed,3/19/95,,1,Mar-95,,566
DAY CARE CENTER,BARBARA AND RAY ALPERT JEWISH COMMUNITY CENTER,3801 EAST WILLOW AVENUE,n,JEWISH COMMUNITY CENTER OF LONG BEACH,LONG BEACH,33.8054593,-118.1484103,210,Licensed,1/29/93,,1,Jan-93,,578
DAY CARE CENTER,BARRETT ELEMENTARY SCHOOL CSPP,419 WEST 98TH STREET,y,LOS ANGELES UNIFIED SCHOOL DISTRICT EARLY CHILDHOO,LOS ANGELES,33.9477948,-118.280981,22,Licensed,3/1/13,,1,13-Mar,,580
DAY CARE CENTER,BARRETT ELEMENTARY SCHOOL STATE PRESCHOOL.,419 WEST 98TH ST.,,LAUSD/EARLY CHILDHOOD EDUCATION,LOS ANGELES,33.9477948,-118.280981,20,Closed,8/18/92,8/23/11,2,Aug-92,11-Aug,581
DAY CARE CENTER,BELLFLOWER UNIFIED SCHOOL DIST.-LAS FLORES SCHOOL,10039 E. PALM STREET,y,BELLFLOWER UNIFIED SCHOOL DISTRICT,BELLFLOWER,33.8771108,-118.1191295,40,Licensed,10/8/93,,1,Oct-93,,614
DAY CARE CENTER,BETHEL LUTHERAN EARLY CHILDHOOD ED. CTR.,17500 BURBANK BLVD.,n,BETHEL LUTHERAN CHURCH & SCHOOL,ENCINO,34.1718775,-118.5170417,93,Licensed,8/18/97,,1,Aug-97,,24
INFANT CENTER,BETHEL LUTHERAN EARLY CHILDHOOD ED. CTR.,17500 BURBANK BLVD.,n,BETHEL LUTHERAN CHURCH,ENCINO,34.1718775,-118.5148476,12,Licensed,9/21/12,,1,12-Sep,,3705
INFANT CENTER,"BEYOND OUR DREAMS INFANT CARE & PRE-SCHOOL,INC",416 N. ALTADENA DRIVE,n,"KOUYOUNDJIAN, H & STUBBS, S",PASADENA,34.153521,-118.098182,24,Licensed,5/29/15,,1,15-May,,3708
INFANT CENTER,BHC CHILD DEVELOPMENT CENTER-CCLC,2300 N. ONTARIO ST.,n,KNOWLEDGE LEARNING CORPORATION,BURBANK,34.153521,-118.098182,24,Licensed,2/26/04,,1,4-Feb,,3709
INFANT CENTER,BILOWIT CHILDREN'S CENTER,24412 NARBONNE AVENUE,n,BILOWIT CHILDREN'S CENTER,LOMITA,34.153521,-118.098182,20,Licensed,8/27/92,,1,Aug-92,,3710
INFANT CENTER,BIXBY OAKS INFANT CENTER,3832 LONG BEACH AVENUE,n,BIXBY OAKS CHILDREN CENTER,LONG BEACH,34.153521,-118.098182,32,Licensed,9/3/99,,1,Sep-99,,3711
INFANT CENTER,BIXBY OAKS INFANT CENTER,3832 LONG BEACH BLVD.,n,BIXBY OAKS INC.,LONG BEACH,34.153521,-118.098182,46,Licensed,,,1,,,3712
INFANT CENTER,BLOOMFIELD CENTER,11015 BLOOMFIELD,n,"PLAZA DE LA RAZA CHILD DEVELOPMENT SERVICES, INC.",SANTE FE SPRINGS,34.153521,-118.098182,20,Licensed,8/10/00,,1,Aug-00,,3713
INFANT CENTER,BPUSD - NORTH PARK HIGH SCHOOL,4600 N. BOGART AVENUE,n,BALDWIN PARK UNIFIED SCHOOL DISTRICT,BALDWIN PARK,34.153521,-118.098182,40,Licensed,3/25/10,,1,10-Mar,,3714
INFANT CENTER,BRIGHT HORIZON EDUCARE,3661-3663 W. IMPERIAL HWY,n,"THOMAS, TANESHA",INGLEWOOD,34.153521,-118.098182,8,Licensed,6/23/15,,1,15-Jun,,3715
DAY CARE CENTER,BRIGHT HORIZON'S CHILDREN'S CENTER,115 N. HOLLYWOOD WAY,n,BRIGHT HORIZON'S CHILDREN'S CENTER LLC,BURBANK,34.1523449,-118.339962,12,Licensed,6/2/06,,1,6-Jun,,684
INFANT CENTER,BRIGHT HORIZONS CHILDREN'S CENTER,115 N. HOLLYWOOD WAY,n,BRIGHT HORIZON'S CHILDREN'S CENTER LLC,BURBANK,34.153521,-118.098182,11,Licensed,6/2/06,,1,6-Jun,,3716
SCHOOL AGE DAY CARE CENTER,BRIGHT HORIZONS CHILDREN'S CENTER,115 N. HOLLYWOOD WAY,n,BRIGHT HORIZON'S CHILDREN'S CENTER LLC,BURBANK,34.1523449,-118.339962,16,Licensed,6/2/06,,1,6-Jun,,4272
INFANT CENTER,BRIGHT HORIZONS LOS ANGELES HOPE STREET,550 SOUTH HOPE STREET,n,BRIGHT HORIZONS CHIDREN'S CENTERS LLC,LOS ANGELES,34.153521,-118.098182,8,Licensed,6/2/06,,1,6-Jun,,3717
INFANT CENTER,BRIGHT HORIZONS@OCEAN PARK,"3350 OCEAN PARK BLVD.,STE.100",n,BRIGHT HORIZONS CHILDRENS CENTERS LLC,SANTA MONICA,34.153521,-118.098182,48,Licensed,3/14/13,,1,13-Mar,,3719
INFANT CENTER,BRIGHT HORIZONS/WARNER BROS.,3901 WEST OAK STREET,n,"BRIGHT HORIZONS CHILDREN'S CENTERS, INC.",BURBANK,34.153521,-118.098182,31,Licensed,8/25/95,,1,Aug-95,,3718
INFANT CENTER,BRIGHT STAR MONTESSORI ACADEMY,800 FRANCESCA DRIVE,n,BRIGHT STAR MONTESSORI ACADEMY INC.,WALNUT,34.153521,-118.098182,8,Licensed,1/30/13,,1,13-Jan,,3720
INFANT CENTER,BUCKNER EDUCATIONAL CHRISTIAN ACADEMY,2330 W. FLORENCE AVENUE,n,BUCKNER FOUNDATION,LOS ANGELES,34.153521,-118.098182,16,Licensed,6/24/08,,1,8-Jun,,3721
DAY CARE CENTER,BURBANK MONTESSORI ACADEMY,217 N. HOLLYWOOD WAY,n,"MOORE, KATHLEEN J.",BURBANK,34.154789,-118.341013,45,Licensed,3/8/89,,1,Mar-89,,719
DAY CARE CENTER,BURLINGTON NURSERY SCHOOL & DAY CARE CENTER,420 N. ALVARADO,,"BURLINGTON DAY CARE, INC.",LOS ANGELES,34.070847,-118.2676269,30,Inactive,12/11/94,,3,Dec-94,,97
INFANT CENTER,BURLINGTON NURSERY SCHOOL AND DAY CARE CENTER,420 N. ALVARADO STREET,,"BURLINGTON SCHOOL, INC.",LOS ANGELES,34.070847,-118.2676269,4,Inactive,11/1/01,,3,1-Nov,,308
DAY CARE CENTER,C & E MERDINIAN ARMENIAN EVANGELICAL SCHOOL,13330 RIVERSIDE DRIVE,n,"ARMENIAN EVANGELICAL SCHOOLS OF CALIF., INC.",SHERMAN OAKS,34.1573035,-118.4237101,57,Licensed,8/7/95,,1,Aug-95,,735
DAY CARE CENTER,CALIFORNIA HOSPITAL MEDICAL CENTER-EARLY EDUCATION,1600 S. HOPE STREET,n,DIGNITY HEALTH-CALIFORNIA HOSPITAL MEDICAL CENTER-,LOS ANGELES,34.0360293,-118.2675064,36,Licensed,12/27/13,,1,13-Dec,,750
INFANT CENTER,CALIFORNIA HOSPITAL MEDICAL CENTER-EARLY EDUCATION,1600 S. HOPE STREET,n,DIGNITY HEALTH-CALIFORNIA HOSPITAL MEDICAL CERNTER,LOS ANGELES,34.0360293,-118.2675064,16,Licensed,12/27/13,,1,13-Dec,,3729
DAY CARE CENTER,CANAAN PRE-SCHOOL,17200 CLARK AVE.,n,KOREAN CANAAN PRESBYTERIAN CHURCH-LIM KWANG SUN,BELLFLOWER,33.8761687,-118.1335106,62,Licensed,11/20/91,,1,Nov-91,,767
SCHOOL AGE DAY CARE CENTER,CANAAN PRESCHOOL,17200 CLARK AVENUE,,CANAAN PRESCHOOL,BELLFLOWER,33.8761687,-118.1335106,25,Inactive,12/13/99,,3,Dec-99,,4287
SCHOOL AGE DAY CARE CENTER,CAROUSEL'S AFTER SCHOOL PROGRAM AT SALVIN,1925 S. BUDLONG AVE.,n,"INTERVENTION SERVICES, INC.",LOS ANGELES,34.037974,-118.296792,50,Licensed,3/11/96,,1,Mar-96,,4292
DAY CARE CENTER,CDI HEAD START SERVING S.L.A. COUNTY - CENTURY,1700 IMPERIAL EAST HIGHWAY,,C.D.I. HEAD START SERVING S.L.A. COUNTY,LOS ANGELES,33.9290892,-118.2420904,80,Closed,3/2/09,10/22/12,2,9-Mar,12-Oct,854
SCHOOL AGE DAY CARE CENTER,"CHILD EDUCATIONAL CENTER, CALTECH/JPL COMMUNITY",4540 ENCINAS DRIVE,n,"CHILD EDUCATIONAL CENTER, CALTECH/JPL COMMUNITY",LA CANADA,34.2084032,-118.2058019,154,Licensed,11/24/97,,1,Nov-97,,4312
DAY CARE CENTER,CHILDREN'S CORNER PRESCHOOL & KINDERGARTEN,7023 HASKELL AVENUE,n,A PLUS EDUCATION LLC,VAN NUYS,34.198239,-118.475273,50,Licensed,12/1/14,,1,14-Dec,,932
DAY CARE CENTER,CHILDREN'S CORNER PRESCHOOL & KINDERGARTEN,7023 HASKELL AVENUE,,CHILDREN'S CORNER PRESCHOOL CORP.,VAN NUYS,34.198239,-118.475273,50,Closed,7/8/09,3/15/11,2,9-Jul,11-Mar,930
DAY CARE CENTER,CHILDREN'S CORNER PRESCHOOL & KINDERGARTEN,7023 HASKELL AVENUE,,CHILDREN'S CORNER PRESCHOOL CORP.,VAN NUYS,34.198239,-118.475273,50,Closed,7/8/09,3/15/11,2,9-Jul,11-Mar,931
DAY CARE CENTER,"CHILDRENS COLLECTIVE, THE",6330 S FIGUEROA ST,n,"CHILDRENS COLLECTIVE, THE",LOS ANGELES,33.9815827,-118.2823559,50,Pending,,,4,,,955
INFANT CENTER,CHRIST LUTHERAN INFANT CENTER,6500 STEARNS ST.,n,CHRIST LUTHERAN CHURCH,LONG BEACH,33.7952238,-118.1042154,9,Licensed,1/12/96,,1,Jan-96,,3767
DAY CARE CENTER,CHRIST LUTHERAN PRE-SCHOOL,6500 STEARNS,n,CHRIST LUTHERAN CHURCH,LONG BEACH,33.7952238,-118.1042154,59,Licensed,7/14/93,,1,Jul-93,,965
DAY CARE CENTER,CII/OTIS BOOTH CDC,424 N. LAKE STREET,y,CHILDREN'S INSTITUTE INCORPORATED,LOS ANGELES,34.0713693,-118.2686107,48,Licensed,8/5/11,,1,11-Aug,,980
DAY CARE CENTER,CITY OF SANTA FE SPRINGS FAMILY CENTER,9255 S. PIONEERBLVD,y,CITY OF SANTA FE SPRINGS,SANTA FE SPRINGS,33.9587816,-118.0854434,72,Licensed,2/2/13,,1,13-Feb,,994
DAY CARE CENTER,CITY TERRACE,3260 MARENGO STREET,n,"PLAZA DE LA RAZA CHILD DEVELOPMENT SERVICES, INC.",LOS ANGELES,34.0547631,-118.1906195,30,Licensed,9/15/14,,1,14-Sep,,996
DAY CARE CENTER,CITY TERRACE - PACE HEAD START,3260 MARENGO STREET,,PACIFIC ASIAN CONSORTIUM IN EMPLOYMENT,LOS ANGELES,34.0547631,-118.1906195,30,Closed,8/1/07,6/30/14,2,7-Aug,14-Jun,997
DAY CARE CENTER,COUNTY KIDS CENTER,2916 SOUTH HOPE STREET,,USC SCHOOL FOR EARLY CHILDHOOD EDUCATION,LOS ANGELES,34.0241426,-118.274974,20,Closed,5/8/08,3/15/13,2,8-May,13-Mar,1059
DAY CARE CENTER,COUNTY KIDS' PLACE,2916 HOPE ST.,n,KNOWLEDGE UNIVERSE EDUCATION LLC,LOS ANGELES,34.0241426,-118.274974,59,Licensed,2/22/99,,1,Feb-99,,1058
INFANT CENTER,COUNTY KIDS' PLACE,2916 HOPE STREET,n,KNOWLEDGE UNIVERSE EDUCATION LLC,LOS ANGELES,34.0241426,-118.274974,12,Licensed,2/22/99,,1,Feb-99,,3784
DAY CARE CENTER,CREATIVE SPACE,11916 W. PICO BOULEVARD,,"CREATIVE SPACE, L.L.C. CHERYL BAYER BRADY",LOS ANGELES,34.0297986,-118.4486846,30,Closed,11/10/11,9/30/13,2,11-Nov,13-Sep,1091
DAY CARE CENTER,"CRYSTAL STAIRS, INC - CENTURY",1700 IMPERIAL HIGHWAY,y,"CRYSTAL STAIRS, INC.",LOS ANGELES,33.9295048,-118.2434682,80,Licensed,11/28/12,,1,12-Nov,,123
DAY CARE CENTER,CTR. FOR COMM. & FAMILY SERVICES-GLENDALE AVE SITE,610 N. GLENDALE AVENUE,,CENTER FOR COMMUNITY & FAMILY SERVICES,GLENDALE,34.1551265,-118.2423307,80,Closed,3/20/01,10/7/11,2,1-Mar,11-Oct,1114
DAY CARE CENTER,CULVER CITY MONTESSORI PRESCHOOL,11269 W. WASHINGTON BLVD.,n,"POONJA, YAZMIN",CULVER CITY,34.0053161,-118.4143932,66,Licensed,8/23/02,,1,2-Aug,,1118
DAY CARE CENTER,DELANEY WRIGHT FINE ARTS PRESCHOOL,6125 CARLOS AVENUE,n,ST. STEPHEN'S EPISCOPAL CHURCH IN HOLLYWOOD CA,LOS ANGELES,34.1036317,-118.3230725,90,Licensed,12/8/09,,1,9-Dec,,1145
DAY CARE CENTER,DIAMOND BAR MONTESSORI ACADEMY,23555 PALOMINO DR.,n,"SURPRIS, INC. A CALIFORNIA CORPORATION",DIAMOND BAR,34.0230688,-117.8093431,100,Licensed,12/28/07,,1,7-Dec,,1171
DAY CARE CENTER,DIAMOND CANYON CHRISTIAN PRESCHOOL,3338 DIAMOND CANYON RD.,n,FIRST CHRISTIAN CHURCH OF ROWLAND HEIGHTS,DIAMOND BAR,33.9650458,-117.8524101,100,Licensed,3/31/98,,1,Mar-98,,1172
DAY CARE CENTER,DIANE FEINSTEIN HOUSE SCHOOL READINESS CENTER,1673 E. IMPERIAL HWY,,"PARENTS OF WATTS WORKING WITH YOUTH & ADULTS, INC.",LOS ANGELES,33.929786,-118.243702,20,Closed,6/10/02,11/16/15,2,2-Jun,15-Nov,1174
INFANT CENTER,DIANE FEINSTEIN HOUSE SCHOOL READINESS CENTER,1673 E. IMPERIAL HIGHWAY,,"PARENTS OF WATTS WORKING WITH YOUTH & ADULTS, INC.",LOS ANGELES,33.929786,-118.243702,4,Closed,8/20/04,11/16/13,2,4-Aug,13-Nov,3807
INFANT CENTER,DISCOVERY MONTESSORI PRESCHOOL INC.,2451 E. GARVEY AVENUE,,"LEULA, NILANI",WEST COVINA,34.0726816,-117.8924491,8,Closed,,6/21/13,2,,13-Jun,3810
DAY CARE CENTER,DISCOVERY MONTESSORI SCHOOL,2451 E. GARVEY AVE. NORTH,n,NILANI LEULA,WEST COVINA,34.0726816,-117.8924491,53,Licensed,7/26/04,,1,4-Jul,,1180
DAY CARE CENTER,DOMINO'S EARLY LEARNING ACADEMY,3801 CORTLAND AVENUE,,"DOMINO'S NURSERY CENTER, INC.",LYNWOOD,33.9225745,-118.2011358,60,Closed,4/5/04,10/19/12,2,4-Apr,12-Oct,1194
DAY CARE CENTER,DORRIS PLACE ELEMENTARY,2225 DORRIS PLACE,,LAUSD/EARLY CHILDHOOD EDUCATION,LOS ANGELES,34.09127,-118.238638,19,Closed,11/13/08,8/23/11,2,8-Nov,11-Aug,1199
DAY CARE CENTER,EVANS HEAD START/STATE PRESCHOOL,717 N. FIGUEROA ST.,n,"FOUNDATION FOR EARLY CHILDHOOD EDUCATION, INC.",LOS ANGELES,34.0640804,-118.2457841,30,Licensed,9/11/92,,1,Sep-92,,1325
DAY CARE CENTER,FIRST 5 LA,750 N. ALAMEDA,n,"LA PETITE ACADEMY, INC.",LOS ANGELES,34.0551905,-118.2373414,40,Licensed,5/2/05,,1,5-May,,1352
INFANT CENTER,FIRST 5 LA,750 N. ALAMEDA,n,"LA PETITE ACADEMY, INC.",LOS ANGELES,34.0551905,-118.2373414,28,Licensed,5/2/05,,1,5-May,,3841
